simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical,simplified_normalized,subtlex_word,subtlex_length,subtlex_pinyin,subtlex_pinyin_input,subtlex_w_count,subtlex_w_million,subtlex_log10w,subtlex_w_cd,subtlex_w_cd_percent,subtlex_log10cd,subtlex_dominant_pos,subtlex_dominant_pos_freq,subtlex_all_pos,subtlex_all_pos_freq,subtlex_eng_tran,subtlex_word_normalized
发挥,發揮,fā huī,to bring out implicit or innate qualities ; to develop (an idea) ; to display ; to elaborate (on a theme) ; to exhibit ; to express (a thought or moral),1869,4,"v,vn",又,发挥,发挥,2.0,fa1 hui1,fahui,791.0,23.58,2.8982,564.0,9.03,2.7513,v,777.0,.v.vn.,.777.14.,to display/to exhibit/to bring out implicit or innate qualities/to express (a thought or moral)/to develop (an idea)/to elaborate (on a theme),发挥
发火,發火,fā huǒ,to catch fire ; to detonate ; to get angry ; to ignite,10499,7,v,又,发火,发火,2.0,fa1 huo3,fahuo,431.0,12.85,2.6345,349.0,5.59,2.5428,v,431.0,.v.,.431.,to catch fire/to ignite/to detonate/to get angry,发火
发酵,發酵,fā jiào,"(fig.) (of trends, emotions or repercussions etc) to bubble away; to simmer; to develop ; to ferment",18094,7,"v,vn",又,发酵,发酵,2.0,fa1 jiao4,fajiao,23.0,0.69,1.3617,23.0,0.37,1.3617,v,18.0,.v.vn.,.18.5.,ferment/leavening (to make bread dough rise),发酵
发觉,發覺,fā jué,to become aware ; to detect ; to perceive ; to realize,5813,5,v,又,发觉,发觉,2.0,fa1 jue2,fajue,344.0,10.25,2.5366,291.0,4.66,2.4639,v,344.0,.v.,.344.,to find/to detect/to discover,发觉
发掘,發掘,fā jué,(fig.) to unearth ; to excavate ; to explore ; to tap into,6817,7,"v,vn",又,发掘,发掘,2.0,fa1 jue2,fajue,274.0,8.17,2.4378,211.0,3.38,2.3243,v,258.0,.v.vn.,.258.16.,excavate/explore,发掘
发愣,發愣,fā lèng,to stare blankly; to be in a daze,46817,7,v,又,发愣,发愣,2.0,fa1 leng4,faleng,3.0,0.09,0.4771,2.0,0.03,0.301,v,3.0,.v.,.3.,to daydream/in a daze,发愣
发明,發明,fā míng,an invention ; to invent,3943,3,"v,n,vn",又,发明,发明,2.0,fa1 ming2,faming,960.0,28.62,2.9823,566.0,9.07,2.7528,v,593.0,.v.n.vn.,.593.343.24.,to invent/invention,发明
发怒,發怒,fā nù,to get angry,17138,6,v,又,发怒,发怒,2.0,fa1 nu4,fanu,97.0,2.89,1.9868,87.0,1.39,1.9395,v,97.0,.v.,.97.,angry/to get angry,发怒
发脾气,發脾氣,fā pí qì,to get angry,9294,7,v,又,发脾气,发脾气,3.0,fa1 pi2 qi4,fapiqi,290.0,8.64,2.4624,244.0,3.91,2.3874,v,290.0,.v.,.290.,to get angry,发脾气
发票,發票,fā piào,invoice ; receipt or bill for purchase,9848,4,n,又,发票,发票,2.0,fa1 piao4,fapiao,76.0,2.27,1.8808,67.0,1.07,1.8261,n,76.0,.n.,.76.,invoice/receipt or bill for purchase,发票
发起,發起,fā qǐ,"to initiate ; to launch (an attack, an initiative etc) ; to originate ; to propose sth (for the first time) ; to start",5460,6,"v,vn",又,发起,发起,2.0,fa1 qi3,faqi,228.0,6.8,2.3579,190.0,3.04,2.2788,v,227.0,.v.vn.,.227.1.,"to originate/to initiate/to launch (an attack, an initiative etc)/to start/to propose sth (for the first time)",发起
发起人,發起人,fā qǐ rén,founding member ; initiator ; proposer,21812,7,n,又,发起人,发起人,3.0,fa1 qi3 ren2,faqiren,23.0,0.69,1.3617,22.0,0.35,1.3424,n,23.0,.n.,.23.,proposer/initiator/founding member,发起人
发热,發熱,fā rè,feverish ; to emit heat ; to have a high temperature ; unable to think calmly,9077,7,"v,vn",又,发热,发热,2.0,fa1 re4,fare,123.0,3.67,2.0899,108.0,1.73,2.0334,v,118.0,.v.vn.,.118.5.,to have a high temperature/feverish/unable to think calmly/to emit heat,发热
发烧,發燒,fā shāo,to have a fever ; to have a high temperature (from illness),5836,4,"v,vn,b",又,发烧,发烧,2.0,fa1 shao1,fashao,292.0,8.7,2.4654,217.0,3.48,2.3365,v,277.0,.v.vn.b.,.277.11.4.,have a high temperature (from illness)/have a fever,发烧
发射,發射,fā shè,emanation ; emission ; to discharge ; to emit (a particle) ; to fire (a rocket) ; to launch ; to shoot (a projectile),3022,5,"v,vn",又,发射,发射,2.0,fa1 she4,fashe,1041.0,31.03,3.0175,378.0,6.05,2.5775,v,786.0,.v.vn.,.786.255.,to shoot (a projectile)/to fire (a rocket)/to launch/to emit (a particle)/to discharge/emanation/emission,发射
发生,發生,fā shēng,to happen; to occur; to take place; to break out,211,3,"v,vn",又,发生,发生,2.0,fa1 sheng1,fasheng,22602.0,673.75,4.3541,5395.0,86.42,3.732,v,22411.0,.v.vn.,.22411.191.,to happen/to occur/to take place/to break out,发生
发誓,發誓,fā shì,to pledge ; to swear ; to vow,5986,7,v,又,发誓,发誓,2.0,fa1 shi4,fashi,3570.0,106.42,3.5527,2209.0,35.38,3.3442,v,3570.0,.v.,.3570.,to vow/to pledge/to swear,发誓
发送,發送,fā sòng,to dispatch ; to issue (an official document or credential) ; to transmit,4350,3,"v,vn",又,发送,发送,2.0,fa1 song4,fasong,597.0,17.8,2.776,298.0,4.77,2.4742,v,592.0,.v.vn.,.592.5.,to transmit/to dispatch,发送
发现,發現,fā xiàn,a discovery ; to discover; to find; to detect ; to notice; to become aware of,189,2,"v,vn",又,发现,发现,2.0,fa1 xian4,faxian,19774.0,589.45,4.2961,5060.0,81.05,3.7042,v,19578.0,.v.vn.,.19578.196.,to find/to discover,发现
发泄,發洩,fā xiè,to give vent to (one's feelings),7068,7,v,又,发泄,发泄,2.0,fa1 xie4,faxie,391.0,11.66,2.5922,312.0,5.0,2.4942,v,391.0,.v.,.391.,"to give vent to (anger, lust etc)/to take it out on sb",发泄
发行,發行,fā xíng,"to distribute (a film) ; to issue (stocks, currency etc) ; to publish ; to release",3589,5,"v,vn",又,发行,发行,2.0,fa1 xing2,faxing,290.0,8.64,2.4624,212.0,3.4,2.3263,v,235.0,.v.vn.,.235.55.,publish/issue,发行
发型,髮型,fà xíng,coiffure ; hairdo ; hairstyle,3773,7,n,又,发型,发型,2.0,fa4 xing2,faxing,911.0,27.16,2.9595,540.0,8.65,2.7324,n,911.0,.n.,.911.,hairstyle/coiffure/hairdo,发型
发言,發言,fā yán,statement ; to make a speech ; utterance,4527,3,"v,vn",又,发言,发言,2.0,fa1 yan2,fayan,376.0,11.21,2.5752,262.0,4.2,2.4183,v,299.0,.v.vn.,.299.77.,statement/utterance,发言
发言人,發言人,fā yán rén,spokesperson,6774,6,n,又,发言人,发言人,3.0,fa1 yan2 ren2,fayanren,118.0,3.52,2.0719,84.0,1.35,1.9243,n,118.0,.n.,.118.,spokesperson,发言人
发炎,發炎,fā yán,inflammation ; to become inflamed,17067,6,v,又,发炎,发炎,2.0,fa1 yan2,fayan,58.0,1.73,1.7634,43.0,0.69,1.6335,v,58.0,.v.,.58.,inflamed from infection or injury/inflamation,发炎
发扬,發揚,fā yáng,to develop ; to make full use of,13862,7,v,又,发扬,发扬,2.0,fa1 yang2,fayang,31.0,0.92,1.4914,25.0,0.4,1.3979,v,31.0,.v.,.31.,to develop/to make full use of,发扬
发扬光大,發揚光大,fā yáng guāng dà,to bring to great height of development ; to carry forward ; to develop and promote,26690,7,v,又,发扬光大,发扬光大,4.0,fa1 yang2 guang1 da4,fayangguangda,14.0,0.42,1.1461,12.0,0.19,1.0792,v,14.0,.v.,.14.,to advocate/to promote/to advertise/to carry out propaganda on behalf of/to carry forward/to bring to great height of development/to develop and promote,发扬光大
发育,發育,fā yù,(sexually) mature ; development ; growth ; to develop ; to mature,6591,7,"v,vn",又,发育,发育,2.0,fa1 yu4,fayu,145.0,4.32,2.1614,122.0,1.95,2.0864,v,108.0,.v.vn.,.108.37.,to develop/growth/development,发育
发源地,發源地,fā yuán dì,birthplace ; place of origin ; source,21846,7,n,又,发源地,发源地,3.0,fa1 yuan2 di4,fayuandi,37.0,1.1,1.5682,35.0,0.56,1.5441,n,37.0,.n.,.37.,place of origin/birthplace/source,发源地
发展,發展,fā zhǎn,development ; growth ; to develop ; to expand ; to grow,859,3,"v,vn",又,发展,发展,2.0,fa1 zhan3,fazhan,1650.0,49.19,3.2175,1217.0,19.49,3.0853,v,1007.0,.v.vn.,.1007.643.,development/growth/to develop/to grow/to expand,发展
发作,發作,fā zuò,to flare up; to break out,5156,7,"v,vn",又,发作,发作,2.0,fa1 zuo4,fazuo,531.0,15.83,2.7251,371.0,5.94,2.5694,v,505.0,.v.vn.,.505.26.,to flare-up/to break out,发作
罚,罰 | 罸,fá,to penalize ; to punish ; variant of 罚,3393,5,v,罒,罚,罚,1.0,fa2,fa,575.0,17.14,2.7597,381.0,6.1,2.5809,v,575.0,.v.,.575.,to punish/to penalize,罚
罚款,罰款,fá kuǎn,fine (monetary) ; penalty ; to fine,6918,5,"v,n",罒,罚款,罚款,2.0,fa2 kuan3,fakuan,137.0,4.08,2.1367,103.0,1.65,2.0128,v,95.0,.v.n.,.95.42.,(impose a) fine/penalty/fine (monetary),罚款
阀门,閥門,fá mén,valve (mechanical),17259,7,n,门,阀门,阀门,2.0,fa2 men2,famen,61.0,1.82,1.7853,36.0,0.58,1.5563,n,61.0,.n.,.61.,a valve,阀门
法,㳒 | 法 | 灋,Fǎ | fǎ,(Buddhism) dharma ; (abbr. for 家) the Legalists ; (physics) farad (abbr. for 拉) ; France ; French ; Taiwan pr. [Fà] ; abbr. for 法国 ; law ; method ; old variant of 法 ; to emulate ; variant of 法 ; way,706,4,"n,b,g",氵,法,法,1.0,fa3,fa,4997.0,148.96,3.6987,2531.0,40.54,3.4033,n,4093.0,.n.b.g.,.4093.903.1.,law/method/way/Buddhist teaching/Legalist/abbr. for France,法
法官,法官,fǎ guān,judge (in court),2726,4,n,氵,法官,法官,2.0,fa3 guan1,faguan,3749.0,111.76,3.5739,800.0,12.81,2.9031,n,3749.0,.n.,.3749.,a judge/judge/to judge,法官
法规,法規,fǎ guī,legislation ; statute,6275,5,n,氵,法规,法规,2.0,fa3 gui1,fagui,117.0,3.49,2.0682,86.0,1.38,1.9345,n,117.0,.n.,.117.,legislation/statute,法规
法律,法律,fǎ lǜ,law,816,4,n,氵,法律,法律,2.0,fa3 lu:4,falv,3044.0,90.74,3.4834,1405.0,22.51,3.1477,n,3044.0,.n.,.3044.,law,法律
法庭,法庭,fǎ tíng,court of law,2329,6,n,氵,法庭,法庭,2.0,fa3 ting2,fating,2322.0,69.22,3.3659,893.0,14.3,2.9509,n,2322.0,.n.,.2322.,court (of law),法庭
法语,法語,Fǎ yǔ,French (language),9377,6,nz,氵,法语,法语,2.0,Fa3 yu3,fayu,828.0,24.68,2.918,345.0,5.53,2.5378,nz,828.0,.nz.,.828.,French (language),法语
法院,法院,fǎ yuàn,court ; court of law,2401,4,n,氵,法院,法院,2.0,fa3 yuan4,fayuan,874.0,26.05,2.9415,477.0,7.64,2.6785,n,874.0,.n.,.874.,court of law/court,法院
法制,法制 | 法製,Fǎ zhì | fǎ zhì,legal system and institutions ; made in France,12210,5,n,氵,法制,法制,2.0,Fa3 zhi4,fazhi,35.0,1.04,1.5441,32.0,0.51,1.5051,n,35.0,.n.,.35.,legal system and institutions; made in France,法制
帆,㠶 | 帆 | 颿,fān,"Taiwan pr. [fán] ; Taiwan pr. [fán], except 布 canvas ; sail ; to gallop ; variant of 帆",9231,7,n,巾,帆,帆,1.0,fan1,fan,109.0,3.25,2.0374,52.0,0.83,1.716,n,109.0,.n.,.109.,"sail/Taiwan pr. fan2, except 帆布 fan1 bu4 canvas",帆
帆船,帆船,fān chuán,sailboat,13329,7,n,巾,帆船,帆船,2.0,fan1 chuan2,fanchuan,93.0,2.77,1.9685,66.0,1.06,1.8195,n,93.0,.n.,.93.,sailboat,帆船
番,番,Pān | fān,"barbarian ; classifier for iterations: times, -fold (as in twofold etc) ; classifier for occurrences (of an event, action or speech utterance) ; classifier for situations: kind, sort ; foreign (non-Chinese) ; surname Pan",5706,6,"qv,g",田,番,番,1.0,fan1/pan1,fan,269.0,8.02,2.4298,234.0,3.75,2.3692,qv,267.0,.qv.g.,.267.2.,deeds/foreign/classifier for repeated actions: time; surname Pan/place name,番
番茄,番茄,fān qié,tomato,8632,6,n,田,番茄,番茄,2.0,fan1 qie2,fanqie,159.0,4.74,2.2014,121.0,1.94,2.0828,n,159.0,.n.,.159.,tomato,番茄
翻,翻 | 飜,fān,to climb over or into ; to cross ; to decode ; to double ; to flip over ; to overturn ; to rummage through ; to translate ; to turn over ; variant of 翻,1378,4,v,羽,翻,翻,1.0,fan1,fan,1676.0,49.96,3.2243,1175.0,18.82,3.07,v,1676.0,.v.,.1676.,to turn over/to flip over/to overturn/to translate/to decode,翻
翻番,翻番,fān fān,to double ; to increase by a certain number of times,23388,7,v,羽,翻番,翻番,2.0,fan1 fan1/pan1,fanfan,21.0,0.63,1.3222,19.0,0.3,1.2788,v,21.0,.v.,.21.,#,翻番
翻来覆去,翻來覆去,fān lái fù qù,again and again ; to toss and turn (sleeplessly),25055,7,v,羽,翻来覆去,翻来覆去,4.0,fan1 lai2 fu4 qu4,fanlaifuqu,31.0,0.92,1.4914,30.0,0.48,1.4771,v,31.0,.v.,.31.,to toss and turn (sleeplessly)/again and again,翻来覆去
翻天覆地,翻天覆地,fān tiān fù dì,everything turned on its head ; sky and the earth turning upside down (idiom); fig. complete confusion,22219,7,l,羽,翻天覆地,翻天覆地,4.0,fan1 tian1 fu4 di4,fantianfudi,43.0,1.28,1.6335,40.0,0.64,1.6021,l,43.0,.l.,.43.,sky and the earth turning upside down (idiom); fig complete confusion/everything turned on its head,翻天覆地
翻译,翻譯,fān yì,interpretation ; interpreter ; to interpret ; to translate ; translation ; translator,4025,4,,羽,翻译,,,,,,,,,,,,,,,,
凡,凡 | 凢,fán,all ; altogether ; commonplace ; every ; gist ; mundane ; note of Chinese musical scale ; of the material world (as opposed to supernatural or immortal levels) ; ordinary ; outline ; temporal ; variant of 凡 ; whatever,5504,7,d,几,凡,凡,1.0,fan2,fan,186.0,5.54,2.2695,118.0,1.89,2.0719,d,186.0,.d.,.186.,ordinary/commonplace/mundane/temporal/of the material world (as opposed to supernatural or immortal levels)/every/all/whatever/altogether/gist/outline/note of Chinese musical scale,凡
凡是,凡是,fán shì,all ; any ; each and every ; every,8759,6,"d,nz",几,凡是,凡是,2.0,fan2 shi4,fanshi,96.0,2.86,1.9823,87.0,1.39,1.9395,d,77.0,.d.nz.,.77.19.,every/all,凡是
烦,煩,fán,edgy ; superfluous and confusing ; to bother ; to feel vexed ; to trouble,2084,4,"v,a",火,烦,烦,1.0,fan2,fan,1804.0,53.78,3.2562,1287.0,20.62,3.1096,v,1597.0,.v.a.,.1597.207.,to feel vexed/to bother/to trouble/superfluous and confusing/edgy,烦
烦闷,煩悶,fán mèn,moody; gloomy,33920,7,a,火,烦闷,烦闷,2.0,fan2 men1,fanmen,14.0,0.42,1.1461,14.0,0.22,1.1461,a,14.0,.a.,.14.,anguish,烦闷
烦恼,煩惱,fán nǎo,to be distressed ; to be worried ; worries,4038,7,"an,a",火,烦恼,烦恼,2.0,fan2 nao3,fannao,523.0,15.59,2.7185,434.0,6.95,2.6375,an,446.0,.an.a.,.446.77.,agonize/agony/annoyance/upset/vexation/worries,烦恼
烦躁,煩躁,fán zào,fidgety ; jittery ; twitchy,9700,7,a,火,烦躁,烦躁,2.0,fan2 zao4,fanzao,113.0,3.37,2.0531,94.0,1.51,1.9731,a,113.0,.a.,.113.,jittery/twitchy/fidgety,烦躁
繁华,繁華,fán huá,bustling ; flourishing,14569,7,a,糸,繁华,繁华,2.0,fan2 hua2,fanhua,32.0,0.95,1.5051,31.0,0.5,1.4914,a,32.0,.a.,.32.,flourishing/bustling,繁华
繁忙,繁忙,fán máng,bustling ; busy,10742,7,"a,an",糸,繁忙,繁忙,2.0,fan2 mang2,fanmang,103.0,3.07,2.0128,95.0,1.52,1.9777,a,99.0,.a.an.,.99.4.,busy/bustling,繁忙
繁荣,繁榮,fán róng,prosperous; booming (economy),8156,5,"an,a,v",糸,繁荣,繁荣,2.0,fan2 rong2,fanrong,97.0,2.89,1.9868,83.0,1.33,1.9191,an,49.0,.an.a.v.,.49.32.16.,prosperous/booming (economy),繁荣
繁体字,繁體字,fán tǐ zì,traditional Chinese character,39543,7,,糸,繁体字,,,,,,,,,,,,,,,,
繁殖,繁殖,fán zhí,to breed ; to propagate ; to reproduce,9104,6,"v,vn",糸,繁殖,繁殖,2.0,fan2 zhi2,fanzhi,125.0,3.73,2.0969,92.0,1.47,1.9638,v,73.0,.v.vn.,.73.52.,to breed/to reproduce/to propagate,繁殖
繁重,繁重,fán zhòng,arduous ; burdensome ; heavy ; heavy-duty ; onerous,18136,7,a,糸,繁重,繁重,2.0,fan2 zhong4,fanzhong,31.0,0.92,1.4914,30.0,0.48,1.4771,a,31.0,.a.,.31.,heavy/burdensome/heavy-duty/arduous/onerous,繁重
反,反,fǎn,abbr. for 切 phonetic system ; against ; anti- ; contrary ; in reverse ; inside out or upside down ; instead ; opposite ; to oppose ; to rebel ; to return ; to reverse ; to use analogy,1290,4,"v,b,d",又,反,反,1.0,fan3,fan,1731.0,51.6,3.2383,1128.0,18.07,3.0523,v,1624.0,.v.b.d.,.1624.105.2.,contrary/in reverse/inside-out or upside-down/to reverse/to return/to oppose/opposite/against/anti-/to rebel/to use analogy/instead/abbr. for 反切 phonetic system,反
反驳,反駁,fǎn bó,to refute ; to retort,10845,7,"v,vn",又,反驳,反驳,2.0,fan3 bo2,fanbo,143.0,4.26,2.1553,124.0,1.99,2.0934,v,124.0,.v.vn.,.124.19.,to retort/to refute,反驳
反差,反差,fǎn chā,contrast; discrepancy,28447,7,n,又,反差,反差,2.0,fan3 cha1/cha4/chai1/ci1,fancha,6.0,0.18,0.7782,6.0,0.1,0.7782,n,6.0,.n.,.6.,#,反差
反常,反常,fǎn cháng,abnormal ; unusual,13398,7,a,又,反常,反常,2.0,fan3 chang2,fanchang,196.0,5.84,2.2923,176.0,2.82,2.2455,a,196.0,.a.,.196.,unusual/abnormal,反常
反弹,反彈,fǎn tán,backlash ; bounce ; negative repercussions ; rebound (of stock market etc) ; to boomerang ; to bounce ; to bounce back ; to ricochet,10407,7,"v,vn",又,反弹,反弹,2.0,fan3 dan4,fandan,46.0,1.37,1.6628,42.0,0.67,1.6232,v,41.0,.v.vn.,.41.5.,to bounce/to bounce back/to boomerang/to ricochet/rebound (of stock market etc)/bounce/backlash/negative repercussions,反弹
反倒,反倒,fǎn dào,but expectedly ; but on the contrary,14186,7,d,又,反倒,反倒,2.0,fan3 dao4,fandao,45.0,1.34,1.6532,45.0,0.72,1.6532,d,45.0,.d.,.45.,but on the contrary/but expectedly,反倒
反对,反對,fǎn duì,to oppose; to be against; to object to,1381,3,"v,vn",又,反对,反对,2.0,fan3 dui4,fandui,2468.0,73.57,3.3923,1060.0,16.98,3.0253,v,2381.0,.v.vn.,.2381.87.,to fight against/to oppose/to be opposed to/opposition,反对
反而,反而,fǎn ér,on the contrary; instead,3595,4,d,又,反而,反而,2.0,fan3 er2,faner,393.0,11.72,2.5944,365.0,5.85,2.5623,d,393.0,.d.,.393.,instead/on the contrary/contrary (to expectations),反而
反复,反復 | 反覆,fǎn fù,(of an illness) to return ; over and over ; repeatedly ; to come and go ; to upend ; unstable ; variant of 反复,4626,3,"d,v,vn",又,反复,反复,2.0,fan3 fu4,fanfu,259.0,7.72,2.4133,232.0,3.72,2.3655,d,240.0,.d.v.vn.,.240.18.1.,repeatedly/over and over,反复
反感,反感,fǎn gǎn,antipathy ; bad reaction ; to be disgusted with ; to dislike,9598,7,"v,an",又,反感,反感,2.0,fan3 gan3,fangan,193.0,5.75,2.2856,164.0,2.63,2.2148,v,134.0,.v.an.,.134.59.,(strongly) dislike,反感
反过来,反過來,fǎn guo lái,conversely ; in an opposite direction ; in reverse order,11352,7,d,又,反过来,反过来,3.0,fan3 guo5 lai2,fanguolai,105.0,3.13,2.0212,101.0,1.62,2.0043,d,105.0,.d.,.105.,conversely/in reverse order/in an opposite direction,反过来
反击,反擊,fǎn jī,to beat back ; to counterattack ; to strike back,5503,7,"v,vn",又,反击,反击,2.0,fan3 ji1,fanji,343.0,10.22,2.5353,271.0,4.34,2.433,v,243.0,.v.vn.,.243.100.,to strike back/to beat back/to counterattack,反击
反抗,反抗,fǎn kàng,to rebel ; to resist,5287,6,"v,vn",又,反抗,反抗,2.0,fan3 kang4,fankang,777.0,23.16,2.8904,516.0,8.27,2.7126,v,711.0,.v.vn.,.711.66.,to resist/to rebel,反抗
反馈,反饋,fǎn kuì,feedback ; to send back information,8624,7,"v,vn",又,反馈,反馈,2.0,fan3 kui4,fankui,123.0,3.67,2.0899,89.0,1.43,1.9494,v,68.0,.v.vn.,.68.55.,to send back information/feedback,反馈
反面,反面,fǎn miàn,backside ; bad ; negative ; reverse side ; the other side (of a problem etc),14058,7,"n,b",又,反面,反面,2.0,fan3 mian4,fanmian,91.0,2.71,1.959,72.0,1.15,1.8573,n,77.0,.n.b.,.77.14.,reverse side of sth/opposite side of some topic/the other side,反面
反省,反省,fǎn xǐng,to examine one's conscience ; to question oneself ; to reflect upon oneself ; to search one's soul,10429,7,"v,vn",又,反省,反省,2.0,fan3 xing3,fanxing,123.0,3.67,2.0899,94.0,1.51,1.9731,v,116.0,.v.vn.,.116.7.,to engage in introspection/soul-searching,反省
反思,反思,fǎn sī,reassessment ; reflection ; to rethink ; to review ; to revisit ; to think back over sth,12288,7,"v,vn",又,反思,反思,2.0,fan3 si1,fansi,47.0,1.4,1.6721,39.0,0.62,1.5911,v,40.0,.v.vn.,.40.7.,to think back over sth that happened/to recollect/to turn over in one's mind,反思
反问,反問,fǎn wèn,rhetorical question ; to answer a question with a question ; to ask (a question) in reply,17873,6,v,又,反问,反问,2.0,fan3 wen4,fanwen,31.0,0.92,1.4914,19.0,0.3,1.2788,v,31.0,.v.,.31.,to ask (a question) in reply/to answer a question with a question/rhetorical question,反问
反响,反響,fǎn xiǎng,echo ; reaction ; repercussions,11329,6,n,又,反响,反响,2.0,fan3 xiang3,fanxiang,68.0,2.03,1.8325,59.0,0.95,1.7709,n,68.0,.n.,.68.,repercussions/reaction/echo,反响
反应,反應,fǎn yìng,chemical reaction ; reaction ; reply ; response ; to react ; to respond,1118,3,"vn,v,n",又,反应,反应,2.0,fan3 ying4,fanying,2612.0,77.86,3.417,1715.0,27.47,3.2343,vn,1521.0,.vn.v.n.,.1521.1065.26.,to react/to respond/reaction/response/reply/chemical reaction,反应
反映,反映,fǎn yìng,(fig.) to report ; mirror image ; reflection ; to make known ; to mirror ; to reflect ; to render,3914,4,"v,vn",又,反映,反映,2.0,fan3 ying4,fanying,239.0,7.12,2.3784,210.0,3.36,2.3222,v,215.0,.v.vn.,.215.24.,"to mirror/to reflect/mirror image/reflection/fig. to report/to make known/to render/used erroneously for 反应, response or reaction",反映
反正,反正,fǎn zhèng,anyway ; in any case ; to come over from the enemy's side,1968,3,d,又,反正,反正,2.0,fan3 zheng4,fanzheng,2559.0,76.28,3.4081,1770.0,28.35,3.248,d,2559.0,.d.,.2559.,to put things back in order/to return to the correct path/in any event/come what may/whatever happens (I'm still sure it's right),反正
返还,返還,fǎn huán,remittance ; restitution ; return of something to its original owner,18090,7,"v,vn",辶,返还,返还,2.0,fan3 hai2/huan2,fanhuan,23.0,0.69,1.3617,17.0,0.27,1.2304,v,21.0,.v.vn.,.21.2.,#,返还
返回,返回,fǎn huí,to come (or go) back ; to return to,3952,5,v,辶,返回,返回,2.0,fan3 hui2,fanhui,541.0,16.13,2.7332,353.0,5.65,2.5478,v,541.0,.v.,.541.,return to/come (or go) back,返回
犯,犯,fàn,crime ; criminal ; recurrence (of mistake or sth bad) ; to assault ; to make a mistake ; to offend ; to violate,1635,6,"v,g",犭,犯,犯,1.0,fan4,fan,4145.0,123.56,3.6175,2460.0,39.4,3.3909,v,4140.0,.v.g.,.4140.5.,to violate/to offend/to assault/criminal/crime/to make a mistake/recurrence (of mistake or sth bad),犯
犯愁,犯愁,fàn chóu,to be anxious ; to worry,38579,7,v,犭,犯愁,犯愁,2.0,fan4 chou2,fanchou,7.0,0.21,0.8451,7.0,0.11,0.8451,v,7.0,.v.,.7.,to worry/to be anxious,犯愁
犯规,犯規,fàn guī,a foul ; an illegality ; to break the rules,6000,6,"v,vn",犭,犯规,犯规,2.0,fan4 gui1,fangui,278.0,8.29,2.444,108.0,1.73,2.0334,v,273.0,.v.vn.,.273.5.,to break the rules/an illegality/a foul,犯规
犯罪,犯罪,fàn zuì,crime; offense ; to commit a crime,1108,6,"vn,v",犭,犯罪,犯罪,2.0,fan4 zui4,fanzui,3469.0,103.41,3.5402,1619.0,25.93,3.2092,vn,3088.0,.vn.v.,.3088.381.,to commit a crime/crime/offense,犯罪
泛滥,泛濫,fàn làn,to be in flood ; to inundate ; to overflow (the banks) ; to spread unchecked,13426,7,"v,vn",氵,泛滥,泛滥,2.0,fan4 lan4,fanlan,55.0,1.64,1.7404,49.0,0.78,1.6902,v,53.0,.v.vn.,.53.2.,in flood/to overflow the banks/to inundate/to spread unchecked,泛滥
饭,飯,fàn,(loanword) fan ; cooked rice ; devotee ; meal,1529,1,n,饣,饭,饭,1.0,fan4,fan,1813.0,54.04,3.2584,1198.0,19.19,3.0785,n,1813.0,.n.,.1813.,food/cuisine/cooked rice/meal,饭
饭店,飯店,fàn diàn,hotel ; restaurant,3998,1,n,饣,饭店,饭店,2.0,fan4 dian4,fandian,645.0,19.23,2.8096,345.0,5.53,2.5378,n,645.0,.n.,.645.,restaurant/hotel,饭店
饭馆,飯館,fàn guǎn,restaurant,16449,2,n,饣,饭馆,饭馆,2.0,fan4 guan3,fanguan,63.0,1.88,1.7993,52.0,0.83,1.716,n,63.0,.n.,.63.,restaurant,饭馆
饭碗,飯碗,fàn wǎn,fig. livelihood ; job ; rice bowl ; way of making a living,12261,7,n,饣,饭碗,饭碗,2.0,fan4 wan3,fanwan,208.0,6.2,2.3181,179.0,2.87,2.2529,n,208.0,.n.,.208.,rice bowl/fig. livelihood/job/way of making a living,饭碗
范畴,範疇,fàn chóu,category,12483,7,n,艹,范畴,范畴,2.0,fan4 chou2,fanchou,49.0,1.46,1.6902,45.0,0.72,1.6532,n,49.0,.n.,.49.,category,范畴
范围,範圍,fàn wéi,extent ; limit ; range ; scope,1325,3,n,艹,范围,范围,2.0,fan4 wei2,fanwei,1423.0,42.42,3.1532,1045.0,16.74,3.0191,n,1423.0,.n.,.1423.,range/scope/limit/extent,范围
贩卖,販賣,fàn mài,to peddle ; to sell ; to traffic,9252,7,"v,vn",贝,贩卖,贩卖,2.0,fan4 mai4,fanmai,246.0,7.33,2.3909,191.0,3.06,2.281,v,238.0,.v.vn.,.238.8.,to sell/to peddle/to traffic,贩卖
方,方,Fāng | fāng,"abbr. for square or cubic meter ; classifier for square things ; direction ; fair and square ; honest ; just when ; method ; only or just ; party (to a contract, dispute etc) ; place ; power or involution (math.) ; prescription (medicine) ; side ; square ; surname Fang ; upright",1012,4,"q,d,g,a,f,b",方,方,方,1.0,fang1,fang,1698.0,50.62,3.2299,914.0,14.64,2.9609,q,851.0,.q.d.g.a.f.b.,.851.571.265.5.4.2.,square/quadrilateral/power (such as cube 立方)/classifier for square things/upright/honest/fair and square/surname Fang/direction/party (to a dispute)/one side/place/method/prescription/just/then/only then,方
