simplified,pinyin,meaning,hsk_level,pos,radical,Difficulty_Human_PCA
北边,běi biān,north ; north side ; northern part ; to the north of,1.0,f,匕,1.9129039901670803
北部,běi bù,northern part,3.0,f,匕,0.8637320825958672
汇合,huì hé,confluence ; fusion ; to converge ; to fuse ; to join,7.0,v,氵,0.4750148157932699
汇款,huì kuǎn,remittance ; to remit money,5.0,"n,v",氵,-0.23736118250630628
汇率,huì lǜ,exchange rate,4.0,n,氵,0.36682873129202037
汇聚,huì jù,convergence ; to come together,7.0,v,氵,1.1023781628541995
匹配,pǐ pèi,compatible ; matching ; to match ; to mate or marry,7.0,"v,vn",匸,0.25747095634491013
匿名,nì míng,anonymous,7.0,"vn,v",匸,-0.7434012672913287
区分,qū fēn,to differentiate ; to divide into categories ; to draw a distinction,6.0,"v,vn",匸,1.0896079629925781
区别,qū bié,difference ; to discriminate ; to distinguish ; to make a distinction,3.0,"n,v",匸,-0.7995240136498399
区域,qū yù,area ; district ; region,5.0,n,匸,-0.5496935730266204
十分,shí fēn,absolutely ; completely ; extremely ; hundred percent ; to divide into ten equal parts ; utterly ; very,2.0,d,十,-0.9622470050128686
十足,shí zú,a pure shade (of some color) ; ample ; complete ; hundred percent,5.0,"z,b",十,0.48698030312206697
千万,qiān wàn,countless ; many ; one must by all means ; ten million,3.0,"m,t",十,-1.0256484769167291
升值,shēng zhí,to appreciate ; to rise in value,6.0,"v,vn",十,0.21983488146555427
升学,shēng xué,to enter the next grade school,6.0,"v,vn",十,-0.31378143714196577
升级,shēng jí,(computing) to upgrade ; to escalate (in intensity) ; to go up by one grade; to be promoted,6.0,"v,vn",十,-1.3076353108874925
升高,shēng gāo,to ascend ; to raise,5.0,"v,vn",十,2.647932670419987
午睡,wǔ shuì,siesta ; to take a nap,2.0,v,十,-0.4736638818729144
午饭,wǔ fàn,lunch,1.0,n,十,-0.7698411890213388
午餐,wǔ cān,lunch ; luncheon,2.0,"n,v",十,-1.508645316266468
半夜,bàn yè,in the middle of the night ; midnight,2.0,t,十,-0.4174109476870853
半天,bàn tiān,a long time ; half of the day ; midair ; quite a while,1.0,"mq,t",十,-0.2716241666598534
半年,bàn nián,half a year,1.0,nr,十,-0.8991177015481011
半数,bàn shù,half the number; half,7.0,m,十,0.20369159087812355
半路,bàn lù,halfway ; midway ; on the way,7.0,n,十,2.2700092005003243
卑鄙,bēi bǐ,base ; contemptible ; despicable ; mean,7.0,a,十,0.16712060418622673
卓越,zhuó yuè,distinguished ; outstanding ; splendid ; surpassing,7.0,"a,an",十,0.1267387921487326
协作,xié zuò,cooperation ; coordination,7.0,"v,vn",十,1.76516439173008
协助,xié zhù,to aid ; to provide assistance,6.0,"v,vn",十,-0.8911880368661623
协同,xié tóng,collaborate ; collaboration ; collaborative ; coordinated ; in coordination with ; to cooperate,7.0,"v,vn",十,0.29560419696462287
协商,xié shāng,agreement ; to consult with ; to talk things over,6.0,"v,vn",十,0.40861902386109533
协定,xié dìng,accord ; agreement ; to reach an agreement,7.0,n,十,-0.3031178280863488
协会,xié huì,a society ; an association,6.0,n,十,-0.14859666984435485
协调,xié tiáo,concerted ; harmonious ; to coordinate ; to fit together ; to harmonize ; to match (colors etc),6.0,"v,vn,a,ad,an",十,-0.05249446771476308
协议,xié yì,agreement ; pact ; protocol,5.0,"n,v",十,-0.9660224520050898
南方,nán fāng,south ; the South ; the southern part of the country,2.0,"s,f",十,0.42243072634126017
南极,nán jí,south pole,5.0,ns,十,0.4381598678778212
南瓜,nán guā,pumpkin,7.0,n,十,-0.367430614781436
南部,nán bù,southern part,3.0,f,十,1.054978000925992
博士,bó shì,Ph.D. ; court academician (in feudal China) ; doctor,5.0,n,十,-0.8552326109574815
占卜,zhān bǔ,to divine,7.0,v,⺊,0.42475052166406874
卡片,kǎ piàn,card,7.0,n,卜,0.2155504759485189
卡车,kǎ chē,truck,7.0,"n,q",卜,3.071540274943806
卡通,kǎ tōng,cartoon (loanword),7.0,n,卜,-0.7677463909997927
印刷,yìn shuā,printing ; to print,5.0,"vn,v",卩,-0.006549957455970724
印章,yìn zhāng,chop ; seal ; signet ; stamp,7.0,n,卩,-0.42979058406675213
印证,yìn zhèng,proof; evidence ; to confirm; to corroborate; to verify,7.0,"v,vn",卩,1.0225612319238127
印象,yìn xiàng,a memory ; impression (sth that stays in one's mind),3.0,n,卩,-0.11603792023039886
危及,wēi jí,"a danger (to life, national security etc) ; to endanger ; to jeopardize",7.0,v,㔾,1.4765143929971825
危害,wēi hài,damage ; harmful effect ; to endanger ; to harm ; to jeopardize,3.0,"v,vn",㔾,-0.933084931693639
危急,wēi jí,critical ; desperate (situation),7.0,a,㔾,-1.3901743934070978
危机,wēi jī,crisis,6.0,n,㔾,-0.613887964678847
危险,wēi xiǎn,danger ; dangerous,3.0,"a,an,n",㔾,-1.4111346336052941
即使,jí shǐ,even if; even though,5.0,c,卩,-0.8396100716793223
即便,jí biàn,even if ; even though ; immediately ; right away,7.0,c,卩,1.8212281741663008
即可,jí kě,(do sth) and that will suffice ; can immediately (do sth) ; can then (do sth) ; equivalent to 就可以,7.0,v,卩,0.9757054068737963
即将,jí jiāng,on the eve of ; to be about to ; to be on the verge of,4.0,d,卩,0.23493666943444055
厄运,è yùn,adversity ; bad luck ; misfortune,7.0,n,厂,0.8563113764387412
厚度,hòu dù,thickness,7.0,n,厂,1.3579250750949532
厚道,hòu dao,generous ; kind and honest ; sincere,7.0,a,厂,1.8425907706309081
原来,yuán lái,"at first ; former ; formerly ; original ; originally ; so, actually, as it turns out",2.0,"d,b",厂,-1.1294199680736239
原先,yuán xiān,former ; original ; originally,5.0,"d,b",厂,-0.07660280133750595
原则,yuán zé,doctrine ; principle,4.0,n,厂,-1.2047987200907389
原告,yuán gào,complainant ; plaintiff,6.0,n,厂,0.7421366518808653
原因,yuán yīn,cause ; origin ; reason ; root cause,2.0,n,厂,-1.6034220545539632
原地,yuán dì,(in) the original place ; local (product) ; place of origin ; the place where one currently is,7.0,n,厂,-0.5733995503829522
原型,yuán xíng,archetype ; model ; prototype,7.0,n,厂,1.8780136524458602
原始,yuán shǐ,first ; original ; original (document etc) ; primitive,5.0,a,厂,0.6071436677365708
原料,yuán liào,raw material,4.0,n,厂,-0.26938738802653195
原有,yuán yǒu,former ; original,5.0,"v,vn",厂,0.12677417050210724
原本,yuán běn,original ; originally,7.0,"d,n",厂,-0.8894838023265713
原理,yuán lǐ,principle ; theory,5.0,n,厂,-0.2283900152058231
原装,yuán zhuāng,genuine ; intact in original packaging (not locally assembled and packaged),7.0,b,厂,-0.009804653138920429
原谅,yuán liàng,to excuse ; to forgive ; to pardon,6.0,"v,vn",厂,-0.8367459394783276
厌倦,yàn juàn,to be weary of; to be fed up with; to be bored with,7.0,"v,vn",厂,-0.20223405469936628
厉害,lì hai,"(of a person) stern ; (of a resemblance) striking ; (of an animal) fierce ; (of bacteria) virulent ; (of liquor or chili pepper) strong ; (used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible ; amazing ; awesome ; devastating ; harsh ; intense ; outstanding ; severe ; shrewd ; strict ; tough",5.0,"a,an",厂,-1.2551696164783435
去世,qù shì,to die ; to pass away,3.0,"v,vn",厶,-0.6143969232036596
去向,qù xiàng,direction in which sb or sth has gone; whereabouts,7.0,n,厶,1.4028516683041183
去年,qù nián,last year,1.0,t,厶,-1.3987667900100846
去掉,qù diào,to delete ; to eliminate ; to exclude ; to extract ; to get rid of ; to remove ; to strip out,6.0,v,厶,1.2332169293087778
去处,qù chù,destination ; place,7.0,n,厶,0.502366052314505
去除,qù chú,to dislodge ; to remove,7.0,v,厶,2.3885985184025538
参加,cān jiā,to join ; to participate ; to take part,2.0,v,厶,-1.6821856900813459
参照,cān zhào,to consult a reference ; to refer to (another document),7.0,"v,vn",厶,1.1409019669558649
参考,cān kǎo,consultation ; reference ; to consult ; to refer,4.0,"v,vn",厶,-1.419596842380963
参与,cān yù,to participate (in sth),4.0,"v,vn",厶,-1.1725003461314203
参见,cān jiàn,compare (cf.) ; see also ; to pay respect to ; to refer to,7.0,v,厶,-0.4679238246864649
参观,cān guān,to look around ; to tour ; to visit,2.0,"v,vn",厶,-0.5789858341731677
参谋,cān móu,staff officer ; to give advice,7.0,n,厶,1.2947839788457283
参军,cān jūn,to join the army,7.0,v,厶,0.7183240722661328
叉子,chā zi,fork,5.0,n,又,1.854047299434891
及早,jí zǎo,at the earliest possible time; as soon as possible,7.0,d,又,1.9821639143002512
及时,jí shí,promptly; without delay ; timely; at the right time,3.0,"ad,a",又,-0.6034611457089495
及格,jí gé,to meet a minimum standard ; to pass an exam or a test,4.0,v,又,0.048626095757939324
友人,yǒu rén,friend,7.0,n,又,-0.7474370899381871
友善,yǒu shàn,friendly,7.0,"a,nr,an",又,-0.17620828202022698
友好,Yǒu hǎo | yǒu hǎo,"Youhao district of Yichun city 市, Heilongjiang ; close friend ; friendly; amicable",2.0,"a,ad",又,-0.29921219326680976
友情,yǒu qíng,friendly feelings ; friendship,7.0,n,又,-1.4616475106046738
友谊,yǒu yì,companionship ; fellowship ; friendship,5.0,n,又,-1.52530935816317
反问,fǎn wèn,rhetorical question ; to answer a question with a question ; to ask (a question) in reply,6.0,v,又,0.06868681394936912
反对,fǎn duì,to oppose; to be against; to object to,3.0,"v,vn",又,-0.5889985040921938
反差,fǎn chā,contrast; discrepancy,7.0,n,又,0.3372643017063799
反常,fǎn cháng,abnormal ; unusual,7.0,a,又,-0.03349883771079505
反弹,fǎn tán,backlash ; bounce ; negative repercussions ; rebound (of stock market etc) ; to boomerang ; to bounce ; to bounce back ; to ricochet,7.0,"v,vn",又,1.1988237573279117
反思,fǎn sī,reassessment ; reflection ; to rethink ; to review ; to revisit ; to think back over sth,7.0,"v,vn",又,-0.3561042738047709
反感,fǎn gǎn,antipathy ; bad reaction ; to be disgusted with ; to dislike,7.0,"v,an",又,0.1272831290269214
反应,fǎn yìng,chemical reaction ; reaction ; reply ; response ; to react ; to respond,3.0,"vn,v,n",又,-0.9712299650978091
反抗,fǎn kàng,to rebel ; to resist,6.0,"v,vn",又,0.10644128387158558
反击,fǎn jī,to beat back ; to counterattack ; to strike back,7.0,"v,vn",又,-0.43459574089306047
反映,fǎn yìng,(fig.) to report ; mirror image ; reflection ; to make known ; to mirror ; to reflect ; to render,4.0,"v,vn",又,-0.0163258372892772
反正,fǎn zhèng,anyway ; in any case ; to come over from the enemy's side,3.0,d,又,-0.9455947559006237
反省,fǎn xǐng,to examine one's conscience ; to question oneself ; to reflect upon oneself ; to search one's soul,7.0,"v,vn",又,-0.8467821949662698
反而,fǎn ér,on the contrary; instead,4.0,d,又,0.18404502173756468
反面,fǎn miàn,backside ; bad ; negative ; reverse side ; the other side (of a problem etc),7.0,"n,b",又,-0.5847023057907011
反响,fǎn xiǎng,echo ; reaction ; repercussions,6.0,n,又,5.968278863889625
反驳,fǎn bó,to refute ; to retort,7.0,"v,vn",又,-0.5848560791869352
叔叔,shū shu,Taiwan pr. [shú shu] ; father's younger brother ; uncle,4.0,n,又,-0.9641998224226381
取代,qǔ dài,(chemistry) substitution ; to replace ; to supersede ; to supplant,7.0,v,又,-0.5072523413209561
取胜,qǔ shèng,to prevail over one's opponents ; to score a victory,7.0,"v,vn",又,-0.22072072617852015
取得,qǔ dé,to acquire; to get; to obtain,2.0,v,又,-0.7467861508015963
取暖,qǔ nuǎn,to warm oneself (by a fire etc),7.0,"v,vn",又,0.6997190057441184
取消,qǔ xiāo,cancellation ; to cancel,3.0,v,又,-0.26122093325887336
取笑,qǔ xiào,to tease; to make fun of,7.0,v,又,-0.42561278080811854
取经,qǔ jīng,to journey to India on a quest for the Buddhist scriptures ; to learn by studying another's experience,7.0,v,又,1.477567688400184
取缔,qǔ dì,to suppress; to crack down on; to prohibit,7.0,v,又,1.9687545680864973
受伤,shòu shāng,harmed ; to sustain injuries ; wounded (in an accident etc),3.0,"v,vn",又,-1.168085752787067
受到,shòu dào,"to be ...ed (praised, educated, punished etc) ; to receive (praise, an education, punishment etc)",2.0,v,又,-0.5192178286497532
受害,shòu hài,"damaged ; injured ; killed ; robbed ; to suffer damage, injury etc",7.0,"v,vn",又,-0.1978076685705543
受灾,shòu zāi,disaster-stricken ; to be hit by a natural calamity,5.0,"v,vn",又,1.1123790399887674
受理,shòu lǐ,to accept to hear a case ; to handle (a service),7.0,"v,vn",又,0.44362775662517623
受益,shòu yì,profit ; to benefit from,7.0,"v,vn",又,-0.2724052936237621
受苦,shòu kǔ,to suffer hardship,7.0,v,又,-0.15963904959746808
受贿,shòu huì,to accept a bribe,7.0,"v,vn",又,-0.1858068028883837
受骗,shòu piàn,to be cheated ; to be hoodwinked ; to be taken in,7.0,v,又,0.7930400923621985
受惊,shòu jīng,startled,7.0,v,又,-0.13841843374463594
叛逆,pàn nì,a rebel ; to rebel ; to revolt,7.0,"n,vn",又,0.19457844296586374
丛林,cóng lín,Buddhist monastery ; forest ; jungle ; thicket,7.0,n,一,0.2980895584681227
口吃,kǒu chī,Taiwan pr. [kǒu jí] ; to stammer; to stutter,7.0,v,口,0.8496953828144412
口味,kǒu wèi,a person's preferences ; flavor ; tastes (in food),7.0,n,口,-0.3767923455638727
口哨,kǒu shào,whistle,7.0,n,口,0.4415447513880888
口径,kǒu jìng,(fig.) stance (on an issue); version (of events); account; narrative; line ; bore; caliber; diameter; aperture,7.0,n,口,0.7766364261201321
口才,kǒu cái,eloquence,7.0,n,口,-1.3646575792527715
口气,kǒu qì,manner of expression ; the way one speaks ; tone ; tone of voice,7.0,n,口,-0.20391470367004128
口水,kǒu shuǐ,saliva,7.0,n,口,-0.6677739324040353
口碑,kǒu bēi,commonly held opinions ; current idiom ; public praise ; public reputation,7.0,n,口,0.19757276299417773
口罩,kǒu zhào,mask (surgical etc),7.0,n,口,-0.6725908820148009
口腔,kǒu qiāng,oral cavity,7.0,n,口,-0.7191863314101826
口号,kǒu hào,catchphrase ; slogan,5.0,n,口,-0.6620456680020446
口袋,kǒu dài,bag ; pocket ; sack,4.0,"n,q",口,-0.5270408910732901
口试,kǒu shì,oral examination ; oral test,6.0,v,口,-0.38136071230445995
口语,kǒu yǔ,colloquial speech ; gossip ; slander ; spoken language ; vernacular language,4.0,n,口,-0.24675829164211793
口音,kǒu yin | kǒu yīn,accent ; oral speech sounds (linguistics) ; voice,7.0,n,口,-0.5515044098246131
口头,kǒu tóu,oral ; verbal,7.0,"n,d",口,-0.3381265608504297
古人,gǔ rén,(literary) deceased person ; extinct human species such as Homo erectus or Homo neanderthalensis ; people of ancient times ; the ancients,7.0,n,口,0.13585194006099247
古代,gǔ dài,ancient times,3.0,t,口,-0.8509364126559874
古典,gǔ diǎn,classical,6.0,b,口,-0.893780000628064
古怪,gǔ guài,bizarre ; eccentric ; strange ; weird,7.0,a,口,-0.991941622425827
古朴,gǔ pǔ,"simple and unadorned (of art, architecture etc)",7.0,a,口,2.8682104742420247
古老,gǔ lǎo,age-old ; ancient ; old,5.0,a,口,-1.1795304888065912
古董,gǔ dǒng,antique ; curio,7.0,n,口,-0.5770330167633982
古迹,gǔ jì,historical sites ; places of historic interest,7.0,n,口,-0.2747368817310279
句子,jù zi,sentence,2.0,n,口,-0.5336922630509647
另外,lìng wài,additional ; besides ; furthermore ; in addition ; moreover ; other ; separate,3.0,"r,c,d",口,-0.35443541761855446
只好,zhǐ hǎo,to have no other option but to ...; to have to; to be forced to,3.0,d,口,0.43218302060565206
只得,zhǐ dé,to have no alternative but to; to be obliged to,6.0,d,口,0.7381126220184668
只是,zhǐ shì,but; however ; merely; only; just; nothing but ; simply,3.0,"d,c,v",口,-0.5112999567522718
只有,zhǐ yǒu,"(used in combination with 才) it is only if one ... (that one can ...) (Example: 只有通过治疗才能痊愈 ""the only way to cure it is with therapy"") ; (used to indicate that one has no alternative) one can only (do a certain thing) (Example: 服 ""the only thing you can do is give in"") ; it is only ... (who ...) (Example: 要 ""only men would have such a requirement"") ; only have ... ; there is only ...",3.0,"c,d,v",口,-0.8068145319796481
只管,zhǐ guǎn,"by all means ; do not hesitate (to ask for sth) ; just (one thing, no need to worry about the rest) ; please feel free ; simply ; solely engrossed in one thing",6.0,d,口,2.9469387314160325
只要,zhǐ yào,if only ; so long as,2.0,c,口,-0.847444926887318
只见,zhǐ jiàn,"to see (the same thing) over and over again ; to see, to one's surprise, (sth happen suddenly)",5.0,v,口,5.4980522244015075
只顾,zhǐ gù,engrossed ; focusing (on sth) ; solely preoccupied (with one thing) ; to look after only one aspect,6.0,"v,d",口,2.4409222321999278
叫好,jiào hǎo,to applaud ; to cheer,7.0,v,口,2.5095312171965074
召开,zhào kāi,to call together ; to convene (a conference or meeting) ; to convoke,4.0,v,口,0.743604096334738
召集,zhào jí,to convene ; to gather,7.0,v,口,-0.21705188144470072
叮嘱,dīng zhǔ,to exhort again and again ; to urge ; to warn repeatedly,7.0,"v,vn",口,-0.23607109701758486
可以,kě yǐ,able to ; can ; may ; not bad ; possible ; pretty good,2.0,v,口,-1.7782643066420216
可信,kě xìn,trustworthy,7.0,"a,an",口,-0.35805709121454043
可怕,kě pà,awful ; dreadful ; fearful ; formidable ; frightful ; hideous ; horrible ; scary ; terrible ; terribly,2.0,a,口,-0.9097931033881768
可耻,kě chǐ,disgraceful ; ignominious ; shameful,7.0,a,口,-0.2283900152058231
可悲,kě bēi,lamentable,7.0,a,口,-0.6440797478321622
可惜,kě xī,it is a pity ; unfortunately ; what a pity,5.0,"v,a",口,-0.8866196701255752
可恶,kě wù,abominable ; hateful ; repulsive ; vile,7.0,a,口,-1.4270175485380876
可爱,kě ài,adorable ; cute ; lovely,2.0,a,口,-1.1976383895882503
可怜,kě lián,pathetic ; pitiful ; to have pity on,5.0,"v,a,vn",口,-0.6091894101109403
可是,kě shì,(used for emphasis) indeed ; but; however,2.0,"c,d,v",口,-0.43499809715947135
可乐,kě lè,(loanword) cola ; amusing ; entertaining,3.0,"n,nz,a",口,-1.0856650653103221
可疑,kě yí,dubious ; suspicious,7.0,a,口,-0.9373811299951317
可笑,kě xiào,funny ; ridiculous,7.0,"a,an",口,-0.8674820595098305
可能,kě néng,maybe ; might (happen) ; perhaps ; possibility ; possible ; probability ; probable,2.0,"v,n",口,-0.8824418668669416
可行,kě xíng,feasible,7.0,a,口,0.9615149336961352
可见,kě jiàn,clear ; it can clearly be seen (that this is the case) ; it is (thus) clear ; visible,4.0,"v,c",口,1.023839524628077
可观,kě guān,considerable ; impressive ; significant,7.0,a,口,1.343225643392479
可谓,kě wèi,it could even be said,7.0,v,口,4.389017501832936
可贵,kě guì,praiseworthy ; to be treasured,7.0,a,口,0.4167972714132112
可靠,kě kào,reliable,3.0,a,口,-1.107015868990472
右边,yòu bian,"right side ; right, to the right",1.0,f,口,-0.3610514112428544
司令,sī lìng,commanding officer,7.0,n,口,1.882025889523801
司机,sī jī,chauffeur; driver,2.0,n,口,-0.7864934381335837
司法,sī fǎ,(administration of) justice ; judicial,7.0,n,口,1.074494382239233
司长,sī zhǎng,bureau chief,6.0,n,口,1.6219341961113753
吃力,chī lì,laborious ; strain ; strenuous ; to entail strenuous effort ; to toil at a task,5.0,a,口,-0.14910562836916902
吃苦,chī kǔ,to bear hardships,7.0,"v,vn",口,0.47212709802335645
吃亏,chī kuī,to be at a disadvantage ; to come to grief ; to get the worst of it ; to lose out ; to suffer losses ; unfortunately,7.0,"a,v",口,-1.035672939620214
吃饭,chī fàn,to eat ; to have a meal ; to make a living,1.0,"v,vn",口,-1.6633084551202386
吃惊,chī jīng,to be amazed ; to be shocked ; to be startled,4.0,a,口,0.5586902104053615
各位,gè wèi,"all (guests, colleagues etc) ; all of you ; everybody",3.0,r,口,-1.3323709980779102
各个,gè gè,"every ; separately, one by one ; various",4.0,r,口,0.35680426858853553
各种,gè zhǒng,every kind of; all kinds of; various,3.0,r,口,-0.18765301803975146
各自,gè zì,apiece ; each ; respective,3.0,r,口,0.9923458632015814
合乎,hé hū,to accord with; to conform to,7.0,v,口,0.2932844016418159
合伙,hé huǒ,to act jointly ; to form a partnership,7.0,"v,vn",口,0.4088676067312737
合作,hé zuò,cooperation ; to collaborate ; to cooperate ; to work together,3.0,"vn,v",口,-1.8218772287935483
合同,hé tong,(business) contract,4.0,n,口,0.642673151809922
合唱,hé chàng,chorus ; to chorus,7.0,"vn,v",口,-1.0895824929143187
合影,hé yǐng,group photo ; to take a joint photo,7.0,"n,v",口,1.4995694312169248
合格,hé gé,eligible (voter etc) ; qualified ; to meet the standard required,3.0,"v,vn",口,-0.2780033701984349
合法,hé fǎ,lawful ; legal ; legitimate,3.0,"a,ad",口,-1.0872391120225955
合理,hé lǐ,rational; reasonable; sensible; fair,3.0,"a,ad",口,-1.0399691379217082
合约,hé yuē,contract ; treaty,6.0,n,口,-0.437980624403328
合计,hé jì,to add up the total ; to consider ; to figure what sth amounts to,7.0,v,口,-0.5781929144248017
合资,hé zī,joint venture,7.0,"vn,v",口,0.4787902627854911
合适,hé shì,appropriate ; fitting ; suitable,2.0,a,口,-1.0975121575962588
吉他,jí tā,guitar (loanword),7.0,n,口,0.4959750559914662
吉利,Jí lì | jí lì,"Geely, Chinese car make ; auspicious ; lucky ; propitious",6.0,"a,n",口,-0.677017268143613
吉祥,jí xiáng,auspicious ; lucky ; propitious,6.0,n,口,-0.7966480886643865
吊销,diào xiāo,to revoke ; to suspend (an agreement),7.0,v,口,1.5800373012839013
同事,tóng shì,colleague; co-worker,2.0,n,口,-0.5743108651741772
同伙,tóng huǒ,accomplice ; co-conspirator ; colleague,7.0,n,口,1.4951312523036542
同伴,tóng bàn,companion; comrade; fellow,7.0,n,口,-0.6455000211482014
同学,tóng xué,classmate ; fellow student ; to study at the same school,1.0,n,口,-1.2473701396237211
同年,tóng nián,the same year,7.0,"d,t",口,0.05712368288698444
同志,tóng zhì,(slang) homosexual ; comrade,7.0,n,口,-0.6291081476905938
同情,tóng qíng,sympathy ; to sympathize with,4.0,"v,vn",口,-1.643910468849858
同意,tóng yì,to agree ; to approve ; to consent,3.0,"v,vn",口,-0.4895467968057094
同感,tóng gǎn,(have the) same feeling ; common feeling ; similar impression,7.0,n,口,-0.9843789356569258
同时,tóng shí,at the same time ; simultaneously,2.0,"c,n,d",口,-0.6083964903625743
同期,tóng qī,concurrent ; synchronous ; the corresponding time period (in a different year etc),6.0,f,口,0.16972436073258562
同样,tóng yàng,equal ; equivalent ; same,2.0,"b,d",口,-0.018006486259953672
同步,tóng bù,synchronous ; to keep step with ; to synchronize,7.0,"v,vn,b",口,-0.5391365662294051
同盟,tóng méng,alliance,7.0,n,口,-0.10327951315323572
同等,tóng děng,equal to ; having the same social class or status,7.0,"b,d",口,0.06337269859824667
同胞,tóng bāo,born of the same parents ; compatriot ; fellow citizen ; sibling,6.0,n,口,-0.5582741768451498
同行,tóng háng | tóng xíng,"of the same trade, occupation or industry ; person of the same profession ; to journey together",6.0,"n,v",口,-1.108578122918288
同类,tóng lèi,alike ; same type ; similar,7.0,n,口,-0.4309622745126145
名人,míng rén,celebrity ; personage,4.0,n,口,-0.4520527025381287
名利,míng lì,fame and profit,7.0,n,口,0.20538403263325736
名胜,míng shèng,a place famous for its scenery or historical relics ; scenic spot,6.0,n,口,1.5210504227243928
名单,míng dān,list of names,2.0,n,口,-0.7327376582357118
名字,míng zi,name (of a person or thing),1.0,n,口,-1.0650953885940795
名气,míng qì,reputation; fame,7.0,n,口,-0.4849902228495795
名片,míng piàn,(business) card,4.0,n,口,0.4977858927894591
名称,míng chēng,name (of a thing) ; name (of an organization),2.0,n,口,-0.6409434471920715
名义,míng yì,in name ; name ; nominal ; ostensible purpose ; titular,6.0,n,口,-0.18089504380367477
名声,míng shēng,reputation,7.0,n,口,-0.1742318790415402
名著,míng zhù,masterpiece,7.0,,口,-0.350754780100275
名言,míng yán,famous remark ; saying,7.0,n,口,-0.32081157981713815
名誉,míng yù,emeritus (of retired professor) ; fame ; honor ; honorary ; reputation,6.0,n,口,-0.6392510054369377
名贵,míng guì,famous and valuable ; precious ; rare,7.0,a,口,-0.2730444399758941
名额,míng é,"number of places ; place (in an institution, a group etc) ; quota",6.0,n,口,-0.009425882441424161
向上,xiàng shàng,to advance ; to make progress ; to try to improve oneself ; up ; upward,5.0,v,口,-0.8186616242655846
向来,xiàng lái,always (previously),7.0,d,口,1.910028065181627
向前,xiàng qián,forward ; onward,5.0,v,口,-0.9785204834276172
君子,jūn zǐ,nobleman ; person of noble character,7.0,n,口,-0.8955908374260583
否则,fǒu zé,otherwise; if not; or (else),4.0,c,口,-1.6928610919214215
否定,fǒu dìng,negation ; negative (answer) ; to deny ; to negate ; to reject,3.0,"v,vn",口,0.22608389717681798
否决,fǒu jué,to overrule ; to veto,7.0,"v,vn",口,0.3321987692254358
否认,fǒu rèn,to declare to be untrue ; to deny,3.0,"v,vn",口,1.151316993141305
吩咐,fēn fù,to command ; to instruct ; to tell,7.0,"v,vn",口,-0.23280460855017782
含有,hán yǒu,including ; to contain,4.0,v,口,1.9022050027580901
含糊,hán hu,ambiguous ; careless ; perfunctory ; vague,7.0,"a,an",口,0.12311711855274658
含义,hán yì,connotation ; hidden meaning ; hint ; implied meaning ; meaning (implicit in a phrase),4.0,n,口,0.29795937064080485
含蓄,hán xù,"(of a person or style etc) reserved ; (of words, writings) full of hidden meaning ; implicit ; restrained ; to contain ; to hold ; veiled (criticism)",7.0,a,口,1.0240050908087706
含量,hán liàng,content ; quantity contained,4.0,n,口,1.6272836898158711
吵嘴,chǎo zuǐ,to quarrel,7.0,v,口,0.6195233041162377
吵架,chǎo jià,quarrel ; to have a row ; to quarrel,3.0,v,口,-1.7643342091189977
呐喊,nà hǎn,cheering ; rallying cry ; shout ; to shout,7.0,"v,vn",口,-0.062412328159846216
吸取,xī qǔ,"to absorb ; to assimilate ; to draw (a lesson, insight etc)",7.0,v,口,0.8974507298712268
吸引,xī yǐn,to attract; to appeal to; to fascinate,4.0,v,口,-1.3753329810928472
吸收,xī shōu,to absorb ; to assimilate ; to ingest ; to recruit,4.0,"v,vn",口,-0.20900382171990148
吸毒,xī dú,to take drugs,6.0,"v,vn",口,-0.7730958847042886
吸烟,xī yān,to smoke,4.0,"v,vn",口,-1.5965220997061103
吸管,xī guǎn,(drinking) straw ; eyedropper ; pipette ; snorkel,4.0,n,口,-0.8646061345243771
吹捧,chuī pěng,adulation ; to flatter ; to laud sb's accomplishments,7.0,"v,vn",口,1.4126039625685076
吹牛,chuī niú,to chat (dialect) ; to shoot off one's mouth ; to talk big,7.0,v,口,0.27568545938497097
吻合,wěn hé,to adjust oneself to ; to be a good fit ; to be identical with ; to fit in,7.0,v,口,-0.17356914712049204
呈现,chéng xiàn,to appear ; to demonstrate ; to emerge ; to present (a certain appearance),7.0,v,口,-0.7668468689930249
告别,gào bié,to bid farewell to; to say goodbye to ; to leave; to part from,3.0,"v,vn",口,-0.23609468258650212
告状,gào zhuàng,"to bring a lawsuit ; to complain (to a teacher, a superior etc) ; to tell on sb",7.0,v,口,-0.0900003547668011
告知,gào zhī,to inform,7.0,"v,vn",口,-0.33501384577925664
告示,gào shi,announcement,7.0,n,口,-0.07945514075404472
告诉,gào su | gào sù,to press charges; to file a complaint ; to tell; to inform; to let know,1.0,v,口,-1.419596842380963
告诫,gào jiè,to admonish ; to warn,7.0,"v,vn",口,0.28312975111101313
告辞,gào cí,to say goodbye ; to take one's leave,7.0,v,口,-0.7124283571741062
周到,zhōu dào,also pr. [zhōu dao] ; attentive ; considerate ; thorough ; thoughtful,7.0,a,口,3.0913406174805984
周围,zhōu wéi,environs; surroundings; periphery,3.0,f,口,-0.5050509410410081
周密,zhōu mì,careful ; dense ; impenetrable ; meticulous ; thorough,7.0,"a,ad",口,3.8820661022566876
